City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
397,Bandarbeyla,9.4942,50.8122,77.0,72,4,11.14,SO
398,Kitimat,54.0524,-128.6534,34.18,99,100,3.02,CA
399,Turinskaya Sloboda,57.6232,64.3858,30.43,97,100,12.28,RU
400,Havre-Saint-Pierre,50.2334,-63.5986,30.2,80,100,11.5,CA
401,Quarai,-30.3875,-56.4514,64.29,98,54,5.82,BR
402,Trinidad,-14.8333,-64.9,81.28,60,100,3.67,BO
403,Lima,-12.0432,-77.0282,63.9,82,100,5.75,PE
404,Fairbanks,64.8378,-147.7164,37.74,82,0,6.91,US
405,Beira,-19.8436,34.8389,80.69,74,20,2.48,MZ
406,Halifax,44.6453,-63.5724,49.21,96,100,17.27,CA
